station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
RAWSON LAKE (AUT),0-124-0-71855,71855,Land (fixed),49.6642,-93.7328,435,Canada,IV
RAYMOND AGDM,0-20000-0-71536,71536,Land (fixed),49.48333333,-112.6833333,937,Canada,IV
REA POINT,0-20000-0-71983,71983,Land (fixed),75.35,-105.7,5.97,Canada,IV
RED DEER A,0-20000-0-71878,71878,Land (fixed),52.17861111,-113.8930556,904.6,Canada,IV
RED EARTH,0-20000-0-71246,71246,Land (fixed),56.55,-115.2666667,546,Canada,IV
RED LAKE A,0-20000-0-71854,71854,Land (fixed),51.06694444,-93.79305556,385.88,Canada,IV
RED PINES,0-20000-0-71634,71634,Land (fixed),47.43333333,-65.58333333,116.53,Canada,IV
REGINA INT'L A,0-20000-0-71863,71863,Land (fixed),50.43333333,-104.6666667,577.6,Canada,IV
REGINA RCS,0-20000-0-71514,71514,Land (fixed),50.426913,-104.670158,577.3,Canada,IV
REPL,0-124-10010-M139000,M139000,Land (fixed),66.52359,-86.23103,21.3,Canada,IV
RESO RACS-ESS,0-124-10010-M009002,M009002,Land (fixed),74.690811,-94.89366,28.11,Canada,IV
RESOLUTE (CAP15),0-20000-0-71649,71649,Land (fixed),74.70527778,-94.96861111,36,Canada,IV
RESOLUTE CARS,0-20000-0-71924,71924,Land (fixed),74.71694444,-94.96944444,67.68,Canada,IV
RESOLUTE CS,0-20000-0-71018,71018,Land (fixed),74.7,-94.96666667,44.98,Canada,IV
RESOLUTE UA,0-20001-0-71924,71924,Land (fixed),74.70416667,-94.96805556,46.1,Canada,IV
RESOLUTION ISLAND,0-20000-0-71972,71972,Land (fixed),61.6,-64.63333333,368.5,Canada,IV
REVELSTOKE A,0-20000-0-71685,71685,Land (fixed),50.96666667,-118.1833333,444.7,Canada,IV
